,source,file,SDR,ISR,SIR,SAR,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
3500,other,1183.json,7.774406141519989,8.916843658524886,12.268238027548716,8.617421118914656,5.5884575843811035,14.591847658157349,6.171880066394806,2.99998894085478,6.372282803058624,6.47754576420256,9.640501737594604,7.052190750521941,10.50361692905426,-4.052044153213501,-4.05220180966716,-4.131334125995636
3501,other,45.json,1.5342946847914318,2.825764071431753,4.235105331668246,1.489090650121301,-2.0953211188316345,9.808897972106934,-1.805376261472702,-6.446005382759407,2.0776337385177612,-4.44200610172048,5.946744084358215,1.5962681910168728,10.2320197224617,-8.04206520318985,-8.04227357377628,-8.15438598394394
3502,other,1290.json,-1.7222225618037543,4.243220914615554,-7.222524972486967,7.029058782801155,-8.095714747905731,-6.614707410335541,-2.7056897431612015,-9.375292590031286,-1.4626282453536987,-3.430644095291902,-0.1508575677871704,-1.4297449830899653,6.245020627975464,-7.944857180118561,-7.945547606941321,-7.707648873329163
3503,other,706.json,4.170166297751127,7.615141003987814,6.8671242072280405,4.819328891577259,2.0883356779813766,13.052593171596527,2.533167004585266,-0.36587004026574954,4.118645787239075,3.4063389005195637,11.36888675391674,8.914736523759688,13.320212364196777,-9.280551075935364,-9.280606564025437,-9.201566576957703
3504,other,1618.json,6.202486039159888,11.709966294975096,8.400794965090142,8.721869640618102,4.584906101226807,9.445967078208923,6.301955282688141,3.4219844849472176,5.855015218257904,9.809580244972867,5.674810409545898,4.512558879668394,6.846368405967951,-1.0899043083190918,-1.0905743947211763,-0.9913531877100468
3505,other,678.json,4.105656671970662,6.6740289542416065,11.155539315229067,3.8693436489405295,2.2804202139377594,20.657795667648315,2.3510994762182236,-0.8261903279553393,4.207517057657242,2.101734900551753,13.901041895151138,10.794449230914434,15.880373865365982,-11.620621681213379,-11.620639558869776,-11.67285680770874
3506,other,853.json,9.334284397266723,14.006330922613195,12.037195602572591,12.414891871292122,7.626691162586212,14.643069505691528,8.659493625164032,6.77573229147673,8.301076591014862,14.343006417595907,7.541404254734516,6.691847308473274,8.370832689106464,0.08528690785169601,0.08388498300345709,-0.06975609809160233
3507,other,1014.json,5.5361728828676515,9.928533084646162,7.110406231359942,6.368498334344878,3.791947364807129,10.1438307762146,4.935858249664307,2.615535543900621,5.266540944576263,8.951155303514255,6.368177272379398,5.191957492442677,7.920618802309036,-2.5762299075722694,-2.5764219485420563,-2.654077857732773
3508,other,1067.json,8.148427066697103,13.007166393572886,11.228822437898884,9.912843456894635,7.850763499736786,17.518687844276428,8.346787095069885,7.05523494785748,8.50482165813446,14.81874033922972,11.82486206293106,11.029770632201332,12.403637766838074,-3.974098563194275,-3.9745356843438526,-3.8988161087036133
3509,other,648.json,3.952855186280342,6.683041642610686,6.389768303627802,5.127045690323332,1.7272377386689186,8.747913539409637,2.6980984956026077,-1.057998377553239,3.9509157836437225,2.2038400886740552,6.868811286985874,4.085005275820823,8.91408771276474,-5.141573548316956,-5.143003653374062,-4.9631719291210175
