,source,file,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
0,drums,710.json,12.951905131340027,26.195653676986694,13.164405226707458,12.7775809612404,13.164532780647278,26.82913325387699,12.413615314289927,12.239482684855293,12.680708095431328,0.5382898170500994,0.5380982763851055,0.48382468521595
1,drums,375.json,12.687950730323792,24.603601694107056,13.01512598991394,12.481116627209227,12.907904982566833,26.213339668472216,13.757377515576081,13.551998778651024,14.160194369032979,-1.0694267852522898,-1.0708821514417963,-1.2522893864661455
2,drums,2302.json,13.57317864894867,26.22421145439148,13.821440935134888,13.455989353458978,13.751738667488098,29.209574989858424,15.056202076375484,14.939128089350366,15.182063803076744,-1.483023427426815,-1.4831387358913877,-1.430325135588646
3,drums,513.json,13.232532143592834,23.71018886566162,13.64559292793274,13.207352139134159,13.350300192832947,35.60784667297301,12.901936378329992,12.877025683339415,12.97499693930149,0.3305957652628422,0.3303264557947433,0.375303253531456
4,drums,1633.json,5.79111635684967,28.232027292251587,5.816086232662201,4.6480880789566985,6.803763508796692,11.004513243676275,29.067735075950623,27.924707144015294,30.09793221950531,-23.276618719100952,-23.27661906505859,-23.294168710708618
5,drums,272.json,7.916966080665588,21.46809697151184,8.113764524459839,7.640862133946074,8.488289713859558,19.791665714233964,15.404569208621979,15.129147643064444,16.237146854400635,-7.48760312795639,-7.488285509118371,-7.748857140541077
6,drums,3430.json,7.298907935619354,19.176952838897705,7.590873837471008,6.7410426411731565,8.02386075258255,15.966888975865865,12.62452483177185,12.06676811989447,13.271317332983017,-5.325616896152496,-5.3257254787213135,-5.247456580400467
7,drums,1743.json,4.464626312255859,15.964829325675964,4.790181815624237,4.096253160774307,5.517981648445129,15.004952424677679,15.41571319103241,15.047354582360187,16.524693965911865,-10.95108687877655,-10.95110142158588,-11.006712317466736
8,drums,3620.json,11.921688318252563,30.762369632720947,11.978774070739746,11.861260975218954,12.117835879325867,30.498212703454783,17.195362150669098,17.13494547559571,17.37885892391205,-5.273673832416534,-5.273684500376758,-5.261023044586182
9,drums,3247.json,8.402397632598877,18.797078728675842,8.844247162342072,8.293556832958872,8.793408572673798,24.844148727336744,12.031088322401047,11.922250185177477,12.417877614498138,-3.62869068980217,-3.628693352218605,-3.624469041824341
10,drums,1607.json,15.739497542381287,32.031461000442505,15.843924283981323,15.405759459607122,15.802000164985657,27.304906582066952,17.812325842678547,17.478629994597114,17.906792126595974,-2.0728283002972603,-2.0728705349899936,-2.1047919616103172
11,drums,3172.json,3.0354775488376617,23.396745920181274,3.075820654630661,1.2423914070251294,4.786213040351868,5.954928294341119,23.326686769723892,21.53360959182676,25.106425881385803,-20.29120922088623,-20.291218184801632,-20.320212841033936
12,drums,886.json,9.49093610048294,28.203158378601074,9.54969435930252,8.996151833713672,9.958515167236328,18.72172710181661,20.95128744840622,20.457014395411054,21.100897192955017,-11.460351347923279,-11.460862561697382,-11.142382025718689
13,drums,3454.json,5.821970105171204,19.41737949848175,6.027514040470123,5.198764986986092,6.765991747379303,14.265349626143113,12.78421401977539,12.16175680085076,13.478122353553772,-6.962243914604187,-6.962991813864669,-6.712130606174469
14,drums,3325.json,10.02906620502472,22.93957233428955,10.258346199989319,9.93729069785466,10.322793126106262,27.00464719689279,16.714637577533722,16.622994182515953,16.905599236488342,-6.685571372509003,-6.685703484661294,-6.58280611038208
15,drums,3183.json,13.155262470245361,32.26200461387634,13.208979368209839,13.044146918257375,13.34557592868805,29.07763789151842,22.36224889755249,22.258317656752467,23.643780946731567,-9.206986427307129,-9.214170738495095,-10.298205018043518
16,drums,2006.json,10.708802342414856,26.64669632911682,10.832633972167969,9.996709469988552,11.005138754844666,18.20185037721798,16.25735431909561,15.545355880783115,16.559227406978607,-5.548551976680756,-5.548646410794563,-5.554088652133942
17,drums,2430.json,16.073559522628784,27.178703546524048,16.42723023891449,16.040037075995492,16.150214672088623,40.34193025584284,17.8267777338624,17.793342098512767,17.860815711319447,-1.7532182112336159,-1.7533050225172733,-1.7106010392308235
18,drums,429.json,13.138589859008789,28.04088830947876,13.281471133232117,12.998532017132575,13.338437676429749,28.015099575162896,15.209017246961594,15.06911155275574,15.471473410725594,-2.0704273879528046,-2.0705795356231653,-2.133035734295845
19,drums,841.json,10.198598504066467,25.67037582397461,10.323882699012756,10.00539382407604,10.559965372085571,23.61931922490958,15.474825501441956,15.28229185583858,15.644198060035706,-5.276226997375488,-5.27689803176254,-5.084232687950134
20,drums,2565.json,2.1708733588457108,12.134127616882324,2.6693006604909897,0.7750621115036247,4.158767014741898,6.499235470858071,10.900671258568764,9.5058859671921,12.827169448137283,-8.729797899723053,-8.730823855688476,-8.668402433395386
21,drums,324.json,7.152818739414215,19.92242395877838,7.391143441200256,6.813284723859164,7.836177051067352,18.07051215923508,14.604672491550446,14.265143191785175,15.27446299791336,-7.4518537521362305,-7.4518584679260105,-7.438285946846008
22,drums,2418.json,17.3788982629776,33.14492583274841,17.499205470085144,17.11275542396243,17.406793236732483,29.599408519423886,22.617994248867035,22.3518575559265,22.65559896826744,-5.239095985889435,-5.239102131964068,-5.248805731534958
23,drums,2642.json,9.70818042755127,23.48956823348999,9.896129369735718,9.000370752937368,10.120891332626343,17.239499831205862,17.735416293144226,17.02768098658276,18.10980260372162,-8.027235865592957,-8.027310233645391,-7.988911271095276
24,drums,3048.json,7.098263204097748,29.290298223495483,7.12492972612381,6.453799758616589,7.865829169750214,15.067046356233138,24.74533647298813,24.100890490199898,25.47190696001053,-17.64707326889038,-17.64709073158331,-17.606077790260315
25,drums,3460.json,8.219096958637238,20.685988664627075,8.473568558692932,7.693154023607073,8.819348216056824,17.176926437793785,12.730364054441452,12.21103537890443,13.928445726633072,-4.5112670958042145,-4.517881355297358,-5.109097510576248
26,drums,2981.json,8.821057677268982,25.982967615127563,8.905592560768127,8.409126464220234,9.34867948293686,18.844068273071933,16.026700139045715,15.615081949285939,16.653395295143127,-7.205642461776733,-7.205955485065704,-7.304715812206268
