,source,file,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
0,drums,710.json,11.34836901408012,20.559996160280832,11.912989370570896,11.003309088366361,11.653801254917575,22.184391810258948,10.799458738978458,10.45459004416946,11.159324968223167,0.5489102751016617,0.5487190441969001,0.49447628669440746
1,drums,375.json,9.188096666709233,16.27634265220179,10.133627600907559,8.309730142334912,9.626200205504697,15.751982675498823,10.241431984701839,9.364536463177988,10.863074927449029,-1.0533353179926053,-1.0548063208430767,-1.2368747219443321
2,drums,2302.json,10.270038099885578,20.069396032604175,10.750101783836588,9.661441553369924,10.637444416618438,18.497565022723478,11.752436796129341,11.143957417671903,12.0671706372858,-1.482398696243763,-1.4825158643019798,-1.4297262206673622
3,drums,513.json,10.40063754527431,17.55799420631802,11.336074536069269,9.874296953241528,10.766014038113806,19.323075142031975,10.067867439822965,9.541800100140598,10.38801000499532,0.33277010545134544,0.3324968531009288,0.3780040331184864
4,drums,1633.json,-6.595496473832068,11.730048796181858,-6.53117214884705,-15.605551597757431,0.8350475407871895,-15.022251681705914,16.677834453063074,7.667779332824622,24.12604409230086,-23.27333092689514,-23.273330930582055,-23.290996551513672
5,drums,272.json,6.224239979104147,18.359422249644435,6.500524046304665,4.611682329187149,7.076376287760304,9.698055788128261,13.709973309353934,12.098101835127453,14.824058620752858,-7.485733330249786,-7.4864195059403045,-7.747682332992554
6,drums,3430.json,3.9711328242193327,10.002616264643969,5.216657109193932,2.4136767653100204,5.436110534286909,7.629169761633358,9.298531303204165,7.741180460184484,10.686077811336927,-5.327398478984833,-5.327503694874464,-5.249967277050018
7,drums,1743.json,7.176976825854393,24.247830147214927,7.263259349766433,5.725796614431378,7.840745627406198,11.196136606827682,18.10254934038839,16.65140453210863,18.8526948089629,-10.925572514533997,-10.925607917677251,-11.011949181556702
8,drums,3620.json,8.364325869220856,13.868054880011428,9.800853818401412,8.039203189624992,8.917939748035172,19.459146492906505,13.638386535781983,13.313276112018642,14.178699340091447,-5.274060666561127,-5.27407292239365,-5.260759592056274
9,drums,3247.json,6.435539584377322,14.711899361352394,7.134763282769813,5.045905312078768,7.276213971944195,10.692387126527393,10.059004734972035,8.669371737299754,10.895336924167019,-3.6234651505947113,-3.623466425220986,-3.619122952222824
10,drums,1607.json,12.773070905801106,27.07756207040198,12.937825185805792,12.43743628621877,12.99541536840239,24.052044692434258,14.835540179606724,14.4999479721922,15.089645051682382,-2.0624692738056183,-2.0625116859734307,-2.094229683279991
11,drums,3172.json,1.7829025333145094,18.303451026974606,1.8810084911764846,-0.8924097360874008,3.9772573398179594,2.4811515624300027,22.066379243634028,19.391074295150382,24.292874662739713,-20.28347671031952,-20.283484031237784,-20.315617322921753
12,drums,886.json,-2.7126223877248825,15.360380624562394,-2.643510231939304,-8.206351090170674,1.8550481681341442,-6.742348283236925,8.746858136338227,3.253639873848365,12.996565926503589,-11.45948052406311,-11.459990964019038,-11.141517758369446
13,drums,3454.json,3.448412274586896,12.680990808310469,4.001679866332142,1.0615730177847655,5.002914089012018,4.847288762929791,10.395270740258436,8.009174585237806,11.701094824123254,-6.946858465671539,-6.947601567453041,-6.698180735111237
14,drums,3325.json,7.078258476618567,17.790045399688985,7.4651634388629695,5.827420956484535,7.799253445401554,11.936451064601147,13.75872798955802,12.50802552682579,14.375526290669804,-6.680469512939453,-6.680604570341254,-6.5762728452682495
15,drums,3183.json,7.0677468457149555,21.621438038715347,7.222650784322742,6.57145412283796,7.816225455006199,16.256861525378355,16.26489642047158,15.775807937752385,18.10489730616434,-9.197149574756622,-9.204353814914423,-10.288671851158142
16,drums,2006.json,9.461075847578474,22.213416387354208,9.701049162566235,8.909231747158486,9.922516312878654,18.152138887302893,15.003909652662703,14.452160986937312,15.472082760613487,-5.5428338050842285,-5.542929239778825,-5.549566447734833
17,drums,2430.json,12.797111206775515,19.44082409861717,13.857164227387097,12.671153497088211,13.008922919703663,28.459545611993377,14.545427979057639,14.419556245204204,14.714648597015083,-1.7483167722821236,-1.7484027481159934,-1.7057256773114204
18,drums,429.json,9.235759750789796,18.432736704657838,9.79714134714223,8.790792363011889,9.723818925291393,18.914436150508916,11.302457154578363,10.857637989328797,11.852324110537861,-2.0666974037885666,-2.0668456263169057,-2.1285051852464676
19,drums,841.json,5.140546922709371,12.804090792620734,5.956665513155692,3.8348944313284985,6.296809770073841,9.691066926735077,10.4102090645093,9.105232674698097,11.374034441914509,-5.269662141799927,-5.2703382433696,-5.077224671840668
20,drums,2565.json,1.4070997069716324,13.657015038612373,1.6766806106299774,-1.7809956254068073,3.725503917635944,1.0651130113421408,10.14700953468083,6.959908736925861,12.415909703673389,-8.739909827709198,-8.740904362332667,-8.690405786037445
21,drums,324.json,2.250377669991716,11.83036113290705,2.7572301331773517,0.8759085155306254,4.226847360649062,6.544142691394482,9.704662695588336,8.330199190254318,11.663943896808577,-7.454285025596619,-7.454290674723692,-7.437096536159515
22,drums,2418.json,14.183133298194088,24.136186761501733,14.64620291291707,14.0822123959171,14.340553709098758,30.472043298818004,19.40763449076382,19.306719325468073,19.574729331561983,-5.224501192569733,-5.224506929550975,-5.234175622463226
23,drums,2642.json,5.389605405517783,16.723576698087022,5.7249855127180025,4.061718697637737,6.488781642135292,9.855987074216124,13.405184986778465,12.077365591649233,14.473088156398445,-8.015579581260681,-8.015646894011496,-7.984306514263153
