,source,file,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
0,drums,710.json,11.609320640563965,23.568509817123413,11.896870732307434,11.3902569447153,11.894423961639404,24.55839802915923,11.071030823513865,10.852158668330196,11.410599276423454,0.5382898170500994,0.5380982763851055,0.48382468521595
1,drums,375.json,11.438097357749939,24.9599826335907,11.684669256210327,11.21690859428885,11.732080578804016,24.285837812032508,12.507524143002229,12.287790745730646,12.984369965270162,-1.0694267852522898,-1.0708821514417963,-1.2522893864661455
2,drums,2302.json,11.500816345214844,23.936673402786255,11.76177978515625,11.345244856898704,11.775848865509033,25.882820916682306,12.983839772641659,12.828383592790091,13.20617400109768,-1.483023427426815,-1.4831387358913877,-1.430325135588646
3,drums,513.json,11.653076410293579,22.14337706565857,12.059358954429626,11.543199815755983,11.898794770240784,27.587365839910674,11.322480645030737,11.21287335996124,11.523491516709328,0.3305957652628422,0.3303264557947433,0.375303253531456
4,drums,1633.json,3.6343227326869965,30.463061332702637,3.6434540152549744,2.463242732480773,5.172989368438721,8.72764423431778,26.91094145178795,25.739861797539362,28.46715807914734,-23.276618719100952,-23.27661906505859,-23.294168710708618
5,drums,272.json,6.875715851783752,22.038509845733643,7.011868059635162,6.419950562662786,7.640359103679657,16.436535255240624,14.363318979740143,13.908236071781158,15.389216244220734,-7.48760312795639,-7.488285509118371,-7.748857140541077
6,drums,3430.json,4.401560127735138,14.334385395050049,4.866520464420319,3.4513597494970307,5.6723275780677795,10.750920071814477,9.727177023887634,8.777085228218345,10.919784158468246,-5.325616896152496,-5.3257254787213135,-5.247456580400467
7,drums,1743.json,6.897210776805878,26.583497524261475,6.951172351837158,5.363067656290916,7.600908875465393,10.638040926378917,17.848297655582428,16.314169077876798,18.60762119293213,-10.95108687877655,-10.95110142158588,-11.006712317466736
8,drums,3620.json,11.307845115661621,21.79819941520691,11.714654564857483,11.038622371896995,11.616472601890564,23.261945515100606,16.581518948078156,16.312306872273755,16.877495646476746,-5.273673832416534,-5.273684500376758,-5.261023044586182
9,drums,3247.json,7.546866834163666,18.741315603256226,7.900641560554504,6.83559138654382,8.24657529592514,15.181807662526081,11.175557523965836,10.464284738762425,11.871044337749481,-3.62869068980217,-3.628693352218605,-3.624469041824341
