,source,file,SDR,ISR,SIR,SAR,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
5541,vocals,1377.json,9.12926862085225,12.377710943586454,12.681104970049903,10.485634757771594,8.020898997783661,15.960551500320435,8.781521022319794,6.214897614303299,8.39432030916214,10.897519850093492,14.954465329647064,13.148571799767662,15.250163674354553,-6.933566331863403,-6.933674185464364,-6.855843365192413
5542,vocals,198.json,13.035881201622072,19.826952865402586,19.60189748612379,14.823373081647446,13.48756730556488,20.722534656524658,14.401804804801941,12.691858603465523,13.479990363121033,20.469501310315813,13.526663538068533,12.730965781021123,13.52523579262197,-0.03909623250365257,-0.03910717755560003,-0.04524542950093746
5543,vocals,1040.json,7.481485501161146,10.467471773008633,13.68943743532926,9.918726815309052,7.925178408622742,14.824013710021973,8.917264938354492,6.052441243668949,8.296773433685303,10.608292485523833,13.429442644119263,11.556717262680749,13.81532609462738,-5.504264235496521,-5.504276019011801,-5.518552660942078
5544,vocals,214.json,10.64172705292906,14.927008202828363,14.593276008960654,13.038103256730507,10.811192095279694,16.939513087272644,12.04275906085968,9.258757301618523,10.797754228115082,14.559551514433236,13.078770972788334,11.526437517702856,13.029412142932415,-2.2675788775086403,-2.267680216084335,-2.231657914817333
5545,vocals,1561.json,10.353174842328585,14.797382430231497,15.55477579805922,12.383499576339592,10.735133290290833,17.87498414516449,11.667292714118958,9.386742957486437,10.789991021156311,15.123451766344552,13.580692559480667,12.232424434210891,13.573797196149826,-2.8455592691898346,-2.8456814767244545,-2.783806174993515
5546,vocals,934.json,0.09375027969787311,3.1875856965118587,2.3328611548277074,-4.457726987375668,-9.402953386306763,19.920617938041687,-9.397073090076447,-11.764592318075378,-0.9363526105880737,-7.801537127927373,56.47090554237366,54.10927240644255,61.574819684028625,-65.87385892868042,-65.87386472451793,-62.5111722946167
5547,vocals,1099.json,16.087420906716027,24.351869221329284,21.483381182251495,17.715239300324154,16.6289484500885,24.88505244255066,17.337814569473267,16.19653699591337,16.601253151893616,26.430564598257803,15.535576120018959,15.103166851287725,15.504475980997086,1.093372330069542,1.0933701446256456,1.0967771708965302
5548,vocals,1116.json,15.161698921984856,21.038109326631563,21.07274488437771,16.300571074645966,14.663900136947632,23.436256647109985,15.29101848602295,14.042744374578993,14.650635123252869,22.796564864618745,16.45256668329239,15.83141384379597,16.432227715849876,-1.788666546344757,-1.788669469216976,-1.7815925925970078
5549,vocals,1429.json,10.680347669994992,14.46603857841209,16.441091393903573,13.756439838868552,11.451600790023804,19.150034189224243,12.260366678237915,10.38037917642081,11.530095338821411,16.984369137120282,15.996632128953934,14.925693452005468,16.19140386581421,-4.54503133893013,-4.54531427558466,-4.661308526992798
5550,vocals,1520.json,8.068614632961037,12.095140360906582,13.313286079098086,9.424873682478127,7.779564261436462,17.754234075546265,8.259391188621521,5.929207797309403,8.206978738307953,10.546813931127527,15.2778822183609,13.427541082262923,15.743167698383331,-7.4983179569244385,-7.498333284953521,-7.536188960075378
5551,vocals,559.json,6.151478252845633,11.342759887652278,10.467408938122457,6.19491083402552,7.672650516033173,18.53459656238556,8.04442584514618,5.833284040021752,8.113618195056915,10.45176195294735,18.444728553295135,16.605370333734676,18.89150470495224,-10.772078037261963,-10.772086293712924,-10.777886509895325
