,source,file,SDR,ISR,SIR,SAR,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
419,drums,942.json,3.903806982250118,8.52598627384052,7.626284481525698,5.356316321347547,-0.2545786020345986,3.6145272850990295,2.0381011068820953,-1.3155429044662375,2.4433261901140213,5.328037257432676,3.801876890938729,2.7466897600692097,6.013789102435112,-4.056455492973328,-4.062232664535447,-3.5704629123210907
420,drums,885.json,9.044292484393104,13.500845730482858,18.74665707151455,9.348972558254744,8.28459620475769,20.558436512947083,8.550290167331696,7.130260447180269,8.78779411315918,13.549107672190058,7.392940316349268,6.238628210269663,7.904757680371404,0.8916558884084225,0.8916322369106056,0.883036432787776
421,drums,1545.json,1.9190093233095749,6.683071460371836,2.4022483981842275,1.7346792587572462,-2.0013558119535446,3.723725378513336,-0.6500638835132122,-3.3428461067577846,1.550484448671341,2.4301855741746055,5.461587682366371,4.120374256392186,9.17821153998375,-7.462943494319916,-7.46322036314997,-7.6277270913124084
422,drums,1584.json,0.036184170070014066,0.02510368404636029,-2.686653042015681,-2.630697840630937,-22.336266040802002,0.8921465720050037,-22.30341672897339,-49.479818632934965,0.026908275322057307,-49.47141917538933,-3.3349281549453735,-30.478381907811652,18.72960781736765,-19.00133788585663,-19.001436725123312,-18.702699542045593
423,drums,106.json,3.555299507871552,7.1189985021310775,7.336124641743741,2.9061740500452986,0.5350869800895452,10.596362352371216,0.9867845848202705,-1.0941105927371302,3.171897381544113,3.956241754341792,7.641990473493934,6.012818259450483,10.25029256939888,-7.106903493404388,-7.106928852187613,-7.078395187854767
424,drums,146.json,-0.3892451175128637,12.598485826156178,1.9267051262244457,4.8842070834357045,-1.6446327231824398,1.8775224592536688,1.0201110318303108,-1.6763430106077266,-0.8146924525499344,19.70838050174528,5.691754911094904,5.669528190569318,7.533010169863701,-7.336387634277344,-7.3458712011770455,-8.347702622413635
425,drums,33.json,3.7296239726011926,7.050416388484147,7.791433451983175,3.5550151735758377,1.1667223274707794,9.909597933292389,1.7917079478502274,-0.7371772261005098,3.592638671398163,3.7987992253984157,5.515373349189758,3.6114944427962277,7.971889972686768,-4.348651021718979,-4.3486716688967375,-4.379251301288605
426,drums,996.json,3.897369786951179,7.358937823266025,12.660981611814028,5.597177336803463,1.0021771676838398,11.670870780944824,1.4011218771338463,-1.7351275021313137,3.5402776300907135,1.6293756113351663,7.987174559384584,5.250188037567053,10.693923681974411,-6.984997391700745,-6.985315539698367,-7.1536460518836975
427,drums,136.json,-1.119484900348942,6.637725106473491,-2.8860504670263327,2.3672983095760003,-5.136172324419022,-1.5073660761117935,-2.6304426789283752,-5.82993616302699,-0.9301683586090803,2.4817932970567314,3.9434392750263214,3.2497299311079937,8.129001827910542,-9.079611599445343,-9.079666094134984,-9.059170186519623
428,drums,876.json,4.1718685815748024,5.85048540873615,8.871127482844697,3.9066058716839502,2.6110292226076126,20.12895405292511,2.6909923553466797,-1.3495290113889498,4.242934137582779,0.9229401219289236,13.80518563091755,9.845383675119734,15.028885155916214,-11.194156408309937,-11.194912686508683,-10.785951018333435
